# 漢字レベル判定用データ（vs metrics の「漢字レベル（ルビ候補）」用）
# 各行: 漢字<TAB>レベル。1〜6=小学校の学年別配当漢字（教育漢字＝L0）、中学=中学で習う常用漢字（L1）。
# 出典: 文部科学省「学年別漢字配当表」/ 文化庁「常用漢字表」（kanjiapi.dev 経由で取得した事実データ）。
# L2（JIS第一水準∖常用）・L3（JIS第二水準）・L4（JIS外）は符号位置から算出するため本ファイルには含めない。
臓	6
臨	6
至	6
若	6
著	6
蒸	6
蔵	6
蚕	6
衆	6
裁	6
装	6
裏	6
補	6
視	6
覧	6
討	6
訪	6
訳	6
詞	6
誌	6
認	6
誕	6
誠	6
誤	6
論	6
諸	6
警	6
貴	6
賃	6
遺	6
郵	6
郷	6
針	6
鋼	6
閉	6
閣	6
降	6
陛	6
除	6
障	6
難	6
革	6
頂	6
骨	6
丈	中学
与	中学
且	中学
丘	中学
丙	中学
串	中学
丹	中学
丼	中学
乏	中学
乙	中学
乞	中学
乾	中学
亀	中学
了	中学
互	中学
井	中学
亜	中学
享	中学
亭	中学
介	中学
仙	中学
仰	中学
企	中学
伎	中学
伏	中学
伐	中学
伯	中学
伴	中学
伸	中学
伺	中学
但	中学
佐	中学
佳	中学
併	中学
侍	中学
依	中学
侮	中学
侯	中学
侵	中学
侶	中学
促	中学
俊	中学
俗	中学
俸	中学
俺	中学
倒	中学
倣	中学
倫	中学
倹	中学
偉	中学
偏	中学
偵	中学
偶	中学
偽	中学
傍	中学
傑	中学
傘	中学
催	中学
傲	中学
債	中学
傾	中学
僅	中学
僕	中学
僚	中学
僧	中学
儀	中学
儒	中学
償	中学
充	中学
克	中学
免	中学
兼	中学
冒	中学
冗	中学
冠	中学
冥	中学
冶	中学
凄	中学
准	中学
凍	中学
凝	中学
凡	中学
凶	中学
凸	中学
凹	中学
刃	中学
刈	中学
刑	中学
到	中学
刹	中学
刺	中学
削	中学
剖	中学
剛	中学
剝	中学
剣	中学
剤	中学
剥	中学
剰	中学
劣	中学
励	中学
劾	中学
勃	中学
勅	中学
勘	中学
募	中学
勧	中学
勲	中学
勾	中学
匂	中学
匠	中学
匹	中学
匿	中学
升	中学
卑	中学
卓	中学
占	中学
即	中学
却	中学
卸	中学
厄	中学
厘	中学
又	中学
及	中学
双	中学
叔	中学
叙	中学
叫	中学
召	中学
叱	中学
吉	中学
吏	中学
吐	中学
吟	中学
含	中学
吹	中学
呂	中学
呈	中学
呉	中学
呪	中学
咲	中学
咽	中学
哀	中学
哲	中学
哺	中学
唄	中学
唆	中学
唇	中学
唐	中学
唯	中学
唾	中学
啓	中学
喉	中学
喚	中学
喝	中学
喩	中学
喪	中学
喫	中学
嗅	中学
嗣	中学
嘆	中学
嘱	中学
嘲	中学
噴	中学
嚇	中学
囚	中学
圏	中学
坊	中学
坑	中学
坪	中学
垣	中学
埋	中学
執	中学
培	中学
埼	中学
堀	中学
堅	中学
堆	中学
堕	中学
堤	中学
堪	中学
塀	中学
塁	中学
塊	中学
塑	中学
塔	中学
塗	中学
塚	中学
塞	中学
塡	中学
填	中学
塾	中学
墜	中学
墨	中学
墳	中学
墾	中学
壁	中学
壇	中学
壊	中学
壌	中学
壮	中学
壱	中学
奇	中学
奈	中学
奉	中学
契	中学
奔	中学
奥	中学
奨	中学
奪	中学
奴	中学
如	中学
妃	中学
妄	中学
妊	中学
